,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,un
Alabama-Autauga,-0.13841044238158154,-0.14140412227960097,-0.13549468878108814,-0.43722582067054533,0.016189360668591116,0.688840030472211,-0.18250295060451638,-0.08700989637500284,-0.11258977713575608,-0.14242767229882627,0.39911954750081396,-0.23940080219718035,0.15994970872871922,-0.2691393148741654,-0.5523009021267803,-0.47716742055634853,0.34698345753177584,-0.3703779173120079,0.6202181440759525,-0.9758001233108645,0.2382764741051126,1.086366763200409,-0.5086106902283551,-0.285048104459087,-0.7518306630270276,-0.18718353139557337,-0.8909761380030287,0.5752633393672313,-0.14436169583978622,-0.0787777201005882,0.5129750500102551,-0.6212503326130279,-0.633107008831028,-0.12072851510750822,-0.12887046857883933
Alabama-Baldwin,0.2997960681203942,0.29629750497872487,0.30309637437011966,-0.33846496799278536,0.3345589012658522,0.05845126474738374,-0.1549243082342631,-0.20096266196374024,-0.11258977713575608,0.37915571311257146,0.31955223580777237,-0.8274023748874403,0.5376472429865693,-0.6206640860896239,-0.4921801167184981,-0.4258622367358795,0.3312784347147011,-0.177816256191635,1.5266990301759111,-0.45399448042741847,-0.7904194593226624,0.7206779340767141,-0.5086106902283551,-0.285048104459087,-0.6186930355785291,-0.12732941311416865,-0.23024106181816087,0.5574049078300508,0.2696451823397218,0.926059889044844,-0.8082028782713658,-0.5446095707995593,0.24588601410134667,-0.14514568856684967,0.1544535290292448
Alabama-Barbour,-0.22701962019137706,-0.2195876969366614,-0.23412556797819073,-0.33326702837816646,-1.27473370805455,2.6640581630766698,-0.21008159297476972,-0.3149154275524776,-0.11258977713575608,-0.24000087156467165,-1.0199987078852057,0.06398298796747506,-1.1538509332693507,-0.5377842619819142,1.1070327751418092,1.8059132594545333,-0.6581380027609957,-0.6179571958953445,0.2763805665897623,-0.45399448042741847,1.2844079318282733,0.603135096144097,0.21367288825873604,-0.1869622323016838,-0.4056728316609314,-0.06747529483276382,-0.9539032881158732,0.14666098247490514,-0.2471769337616551,-0.30772806142486336,0.4976125159604692,-0.16140576173221607,-0.4133587530979343,2.320988830826648,-0.20009294207412387
Alabama-Bibb,-0.2405761446906805,-0.23506099747297052,-0.24583264322233284,-0.458017579129021,-0.0405065849172224,0.8919652994279885,-0.18250295060451638,-0.42886819314121494,-0.11258977713575608,-0.255696645310949,-0.5773038500331712,0.5967290937205297,-0.8947984631232282,0.24338189627466023,-0.08335877594217884,0.3180629286609248,-1.4905042120659469,-0.12279863872867144,-1.3802913976618854,1.4909174612290612,1.389021077600589,0.5247732041890202,1.107928747337992,-0.1542669415825494,-0.7252031375373279,-0.06747529483276382,-1.2370754636236736,0.9860072647223777,-0.2492013029273141,0.3282451089203464,-0.2244265843794865,-0.31468728535915325,0.24588601410134667,0.05019169910788296,-0.20963458535828317
Alabama-Blount,-0.1306141878809424,-0.13012469899261322,-0.13105534617275275,-0.12534944379340865,0.5438977772750108,-0.501894304785796,-0.19629227178964304,-0.42886819314121494,-0.11258977713575608,-0.134528587654847,-0.024516343772361567,0.1515576902830457,-0.5561119417934189,-0.6235220110588553,-0.09538293302383546,0.25820688087037735,-0.3911526148707284,-1.1681333705249826,0.5264442593069911,0.18640335402044667,0.7264711543759205,0.746798564728407,0.31685625661403444,-0.1869622323016838,-0.6453205610682288,-0.7258705959282166,-0.7336582627209173,2.0753715884903734,-0.15636760802027866,0.989657206079365,-0.6238524696739304,-0.953360300471392,0.24588601410134667,-0.09631134164816653,-0.1213937435888173
Alabama-Bullock,-0.27793176187614554,-0.27599758012121745,-0.2797302828341791,-0.3436629076074043,-2.3214280881003404,4.345094871676209,-0.07218838112350312,-0.3908839379449692,-0.11258977713575608,-0.3017161273293913,-1.0994885441043496,1.5814232167807258,-1.0319818185024132,0.6596863001260297,0.854525476427024,1.2159036455191368,-1.9145398281269597,-0.9205540919416455,-0.7863901274584649,1.7518202826707843,1.8597802335760112,-0.5592329678562193,1.5894511329960528,-0.0888763601442806,0.44640798400945947,0.05223294173004573,-0.5763403874388059,0.753847654739034,-0.278791834394983,0.6716706209067601,-0.37805192487734973,-0.6467972532175174,-0.633107008831028,2.418657524664014,-0.23104090500750615
Alabama-Butler,-0.24762378335136273,-0.2514726541061598,-0.24385891887707567,-0.5099969752752106,-0.9650866206243373,2.4609328941208917,-0.22387091415989635,-0.3149154275524776,-0.11258977713575608,-0.2650292675384653,-1.0769431812000894,-0.551125040201414,-0.9014077669664087,-0.6178061611203925,0.9507187330802753,1.2843105572797628,-0.5482028430414739,-0.48041315223793507,-0.0987149724860833,-0.572586671991838,1.389021077600589,0.6945573034250212,0.7295897300352299,-0.31774339517822137,-0.6719480865579286,-0.6061623593654069,-0.9224397130594508,0.23595314016080648,-0.2524149054642183,0.4045618893617727,-0.20906405032970055,-0.442421888381601,-0.19361049736484062,0.6850382090507634,-0.21252547097007532
Alabama-Calhoun,0.053996357622742006,0.047090552446749194,0.060635713602128494,-0.3904443641389748,-0.1059249836700843,0.8149177836171765,-0.21008159297476972,-0.12499415157124862,-0.11258977713575608,0.09106829458156639,-0.3429405414923234,-1.0035943354985288,-0.4203794092090785,-0.8321505338127453,0.3615350360791096,0.6344448955538188,-0.5796128886756229,-0.177816256191635,0.6202181440759525,-0.5251497953660703,0.8136487758528504,0.7990398260317909,-0.30224395351775774,-0.2523528137399526,-0.5654379845991296,-0.2470376496769782,-0.6078039624952281,0.14666098247490514,0.01207594116980244,-0.01518040306606722,0.4976125159604692,-0.7489849356354756,-0.4133587530979343,1.0268786374815453,-0.012374661484595196
Alabama-Chambers,-0.20463318752120108,-0.2083465738985259,-0.2010088099608854,-0.5515804921921621,-0.7906375572833723,2.2157817074501254,-0.21008159297476972,-0.1629784067674944,-0.11258977713575608,-0.21197374901307106,-0.9260209580471732,0.051472316208107834,-0.4692237766355098,0.0033161988592251604,0.49380076397733064,1.1132932778781988,-1.2078138013586048,-1.0580981355990549,1.2766353374586812,-0.2879654122372313,1.5110697476682908,0.772919195380098,0.5576174494430652,-0.2523528137399526,-0.8050857140064271,-0.7258705959282166,-0.7965854128337618,0.3252452978467078,-0.2131568420404155,1.3839605716933943,-0.8389279463709385,-1.3110171889342457,-0.633107008831028,0.19669473986393224,-0.18805618918454872
Alabama-Cherokee,-0.22991385046803056,-0.22930319339551555,-0.23044866094247804,-0.49440315643135374,0.7096243874489274,-0.2707517573533594,-0.1549243082342631,-0.35289968274872335,-0.11258977713575608,-0.24055673307665537,-0.761850428857733,-0.5943911133692256,-0.3499339023927403,0.1843181135772119,0.20522099401757568,0.5061819360026456,-0.2655124323341319,-0.6454660046268267,-0.8489060506377722,0.2338402306462143,1.0054395431020968,0.6161954114699444,0.6264063616799308,-0.2523528137399526,-0.7252031375373279,-0.5463082410840021,-0.6707311126080727,0.7359892232018534,-0.23676780122008179,-0.14237503713510918,0.14427423281538432,-0.008124238105278642,0.4656342698344403,-0.047476994729483364,-0.20706204131683714
Alabama-Chilton,-0.17412474283006996,-0.17412530154904018,-0.17408376663415315,-0.17732883993959808,0.22116701009422518,0.10748150208153692,-0.18250295060451638,-0.35289968274872335,-0.11258977713575608,-0.18629684794196308,-0.3488286775085563,-0.43018854652753064,-0.416349345890066,0.07952753137206169,0.1931968369359195,0.5489362558530367,-0.5953179114926976,-1.1131157530620184,0.4639283361276839,0.613335243652357,0.6567290571943766,0.2635668976720949,1.348689940167022,-0.2523528137399526,-0.5920655100888293,-0.12732941311416865,-0.8595125629466064,1.5574770739121462,-0.18505619282998073,0.7734263281619933,-0.36268939082756346,-0.9789072210758816,0.4656342698344403,0.24552908678261517,-0.14956267065133985
Alabama-Choctaw,-0.26942134665789064,-0.27138878350933,-0.2674636782585155,-0.5515804921921621,-0.85169472945271,2.397894017548409,-0.23766023534502304,-0.46685244833746076,-0.11258977713575608,-0.2894725461312234,-0.9756827368156636,-0.32280528059296193,-0.5201637769878276,0.01665318204897155,0.7102355914471463,0.8738690867160085,-0.9565334362854124,-0.8105188570157179,-0.817648089048118,1.324888393038874,1.057746115988255,0.8251604566834838,0.007306151548138647,-0.285048104459087,-0.37904530617123167,-0.12732941311416865,-1.2056118885672515,1.3253174639288026,-0.2751840477631155,0.4172813527686762,-0.11688884603098257,-0.6467972532175174,0.026137758368252956,1.3443018924529853,-0.22926851680503835
Alabama-Clarke,-0.23285193271857277,-0.23658662405225184,-0.229200480126007,-0.556778431806781,-0.960725394040813,2.565997688408363,-0.23766023534502304,-0.3149154275524776,0.43176319940648805,-0.2471002957879024,-1.09383283450981,0.12392995681444306,-0.6315547271253327,0.10143828946950219,0.8665496335086802,0.48052934409241094,-1.5533243033342448,-0.9205540919416455,1.0265716447414512,-0.2642469739243475,1.9469578550529412,0.3680494202788646,0.8671675545089617,-0.2523528137399526,-0.53881045910943,0.5909200062626889,-1.1112211633979845,-0.049781764434078064,-0.2500898874125703,1.1295713035553103,-0.6084899356241441,-1.183282585911798,-0.633107008831028,2.7604979530947955,-0.2035860955217061
Alabama-Clay,-0.26897656235130535,-0.2695439881896133,-0.2683675333325118,-0.4060381829828316,0.19499965059308066,0.4016629260864564,-0.1411349870491364,-0.46685244833746076,-0.11258977713575608,-0.29072079654409916,-0.8369241630647022,0.8688362044867671,-0.8183884625947514,-0.2815236564075014,-0.09538293302383546,-0.14368372572329846,-1.4905042120659469,-1.3882038403768373,-0.44255254997227356,0.613335243652357,2.330539389551434,0.6684366727733283,0.041700607666571445,-0.121571650863415,-0.4056728316609314,-0.4266000045211925,-0.7965854128337618,1.2538837377800816,-0.2700062058377501,0.4172813527686762,-0.439502061076495,-0.03367115870976833,-0.633107008831028,0.31878060716064,-0.2258441939672607
Alabama-Cleburne,-0.2643877665122389,-0.2653118106914396,-0.26343629680635533,-0.45281963951440224,0.7445142001171203,-0.4038338301174895,-0.21008159297476972,-0.3149154275524776,-0.11258977713575608,-0.285576639569162,-0.6254935947976034,0.5383459588434827,-0.6175301067751693,-0.005257576048468948,-0.05931046177886604,0.1812491051396736,-0.3283325236024304,-1.8283447800805477,0.2763805665897623,0.6844905585910085,0.8659553487390086,-0.2066044540583717,2.5524959043121744,-0.285048104459087,-0.8317132394961267,-0.36674588623978777,-0.3875589371002722,1.7896366838954891,-0.26409344441330057,0.26464779188582543,-0.34732685677777697,0.11961036491716909,-0.633107008831028,0.05019169910788296,-0.22231662521477621
Alabama-Coffee,-0.15199515743552772,-0.15143240410408185,-0.15250192098975254,-0.2397041153150254,-0.1713433824229462,0.5977838754230692,-0.12734566586400975,-0.011041385982511266,-0.11258977713575608,-0.15778700355100822,0.04645119031802409,-0.4088161489386116,0.15382401248382024,-0.4844363292229286,-0.04728630469720942,0.18979996910975164,0.18993322936103038,0.06976302239170248,0.1513487202311467,-0.14565478235992801,-0.21504715757492396,0.7990398260317909,-0.23345504128089217,-0.285048104459087,-0.6186930355785291,-0.18718353139557337,-0.5763403874388059,-0.424808826714864,-0.1648993552960098,-0.4985200125284263,0.912400935304699,-0.5701564914040488,0.4656342698344403,-0.24281438240421602,-0.13908321030859322
